Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
4.0,42.83175,0.78758,738.0,0,4.42,84.0,58.497597,291.0,0.286501,4788.009256,0.0,0.12,4.125,0.04508643432297076,23.717489578305,295.892608899097,80.268003,4235.61271958944
4.1,42.83175,0.765619,741.25,0,4.51,84.0,60.002426,295.0,2.76181299999998,4815.06042,0.0,0.1,2.625,0.04402225229408385,24.4559611222858,303.593196779923,79.897836,4224.15563603645
4.2,42.83175,0.764672,741.25,0,4.51,84.0,60.002426,295.0,0.618075,4799.565093,0.0,0.1,2.625,0.04396780083334098,24.6444145162756,302.515593944935,79.904748,4223.22893129873
4.3,42.83175,0.721317,741.25,0,4.51,84.0,60.002426,296.0,2.033007,4782.756602,0.0,0.1,2.625,0.04147493591200281,24.3806367751076,302.100348993629,79.317833,4225.87558614696
4.4,42.83175,0.738166,743.25,0,4.52,84.0,60.002426,295.0,0.407969,4780.918174,0.0,0.12,2.625,0.04255825427379992,24.7456329606734,304.477491265154,79.161184,4243.03227415851
4.5,42.83175,0.702573,736.0,0,4.48,84.0,59.599724,296.0,2.660043,4788.271888,0.0,0.1,4.5,0.0401110582000533,24.6938667491533,297.299357892727,78.644492,4273.0162136744
4.6,42.828726,0.738356,736.0,0,4.48,84.0,59.599724,296.0,0.243823000000015,4780.130276,0.0,0.0999999999999998,4.49999999999998,0.04215396903717984,24.6674553059078,298.146304315598,78.935153,4308.60326361646
4.7,42.828726,0.653538,740.5,0,4.49,84.0,59.599724,296.0,1.931237,4783.5445,0.0,0.08,2.625,0.037539696494437724,24.746272686309,300.711989032329,78.775929,4340.09949431473
4.8,42.828726,0.668305,740.5,0,4.49,84.0,59.599724,296.0,1.55042,4781.443439,0.0,0.0800000000000002,2.625,0.03838792367959507,24.6835062104123,301.462053338983,78.377707,4349.74265106549
4.9,42.828726,0.666412,745.75,0,4.56,84.0,60.807827,298.0,1.379709,4782.231337,0.0,0.1,2.25,0.03855058033736638,25.1013702898267,309.628197552905,77.811805,4419.14700728645
5.0,42.828726,0.64161,752.0,0,4.55,84.0,60.807827,298.0,0.910253,4789.322419,0.0,0.08,1.125,0.03742689633030247,25.1593804814185,311.664584971445,77.423236,4378.62317791759
5.1,42.828726,0.677204,748.0,0,4.51,84.0,60.299152,298.0,0.992325999999998,4780.655541,0.0,0.08,1.875,0.03929307000773959,24.5521738979654,307.32294020578,77.397668,4408.89587961676
5.2,42.828726,0.619459,748.0,0,4.51,84.0,60.299152,298.0,0.75924,4768.049173,0.0,0.08,1.875,0.03594256066698419,24.4257372424508,307.331062297546,77.222541,4500.18170052858
5.3,42.828726,0.680233,748.75,0,4.54,84.0,60.807827,300.0,2.456502,4750.452785,0.0,0.08,1.875,0.03950839451611352,24.2741401289175,309.029348150584,76.681784,4474.23219519216
5.4,42.828726,0.409308,748.75,0,4.54,84.0,60.807827,300.0,2.029725,4782.49397,0.0,0.08,1.875,0.02377288655887232,24.6065889360124,309.011012597984,76.785281,4471.12138517334
5.5,42.828726,0.409308,744.25,0,4.5,84.0,60.19318,298.0,2.029725,4782.49397,0.0,0.12,2.25,0.023630011113777258,23.413298713409,306.378398413609,76.917816,4451.44739705019
5.6,42.859969,0.89171,744.25,0,4.5,84.0,60.19318,297.0,0.815049000000007,4785.120296,0.0,0.12,2.25,0.051479856758886514,23.1756916796806,304.560981994383,76.708556,4397.40009952196
5.7,42.859969,0.3385,744.25,0,4.5,84.0,60.19318,297.0,1.62921,4731.017967,0.0,0.12,2.25,0.01954215105009822,23.1106115836705,304.009623957107,76.864902,4389.95622021137
5.8,42.859969,0.33566,751.5,0,4.5,84.0,60.002426,296.0,0.641055000000012,4785.645562,0.0,0.0800000000000002,1.12500000000004,0.01956696303859552,23.375340697867,309.366208921645,76.826336,4334.19889130636
5.9,42.859969,0.321839,732.75,0,4.5,84.0,60.002426,297.0,2.019876,4738.371682,0.0,0.1,6.0,0.018293185854885104,22.8020271544763,303.46541461777,76.392387,4263.25532979874
6.0,42.859969,0.321839,732.75,0,4.5,84.0,60.002426,297.0,2.019876,4738.371682,0.0,0.1,6.0,0.018293185854885104,22.7437773514912,303.4269248829,76.165518,4191.32465370675
6.1,42.859969,0.3295844545,732.75,0,4.5,84.0,60.002426,297.909090909091,1.95720236363636,4742.19179381818,0.0,0.1,6.0,0.018733434049476368,22.6372031046753,302.462801106,76.0580089090909,4289.36732933759
6.2,42.859969,0.330548,747.25,0,4.56,84.0,60.998581,300.0,0.811766,4766.73601,0.0,0.08,1.875,0.019159991274835492,23.5381030781857,315.43114855888,75.527589,4180.1480123985
6.3,42.859969,0.32998,747.25,0,4.56,84.0,60.998581,300.0,1.32718199999999,4682.430925,0.0,0.08,1.875,0.01912706753896625,23.6404474363933,315.202321571981,75.87121,3929.60969630567
