Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
723.1,27.310333,70.6556494,1461.75,2,16.24,73.5,229.497086,829.0,118.2626865,,0.36,0.88,-3.375,8.011518582513698,39.5113922818347,2296.49893038985,1871.9710674,7651.09996465788
723.2,27.310333,70.2461002,1489.275,2,18.04,73.5,254.8799579,895.600000000177,130.292899400014,,6.6179997000166,6.89200000001595,0.562500000010445,8.115064341128933,38.2835885050391,2688.38267991371,2133.3660046002,7308.99947997177
723.3,27.310333,70.7994235,1553.5,2,22.24,73.5,314.106659,1051.0,142.996436300002,,21.219999,20.92,9.75,8.531704959923443,40.797204129871,3716.9689492862,2384.5968439002,6985.88801136457
723.4,27.310333,70.7555379,1553.5,2,22.24,73.5,314.106659,1051.0,151.951550800019,,21.219999,20.92,9.75,8.526416513031085,32.6331962074101,3711.57921828947,2628.48822040018,6679.52369000828
723.5,27.310333,71.0208782,1553.5,2,22.24,73.5,314.106659,1051.0,170.768846399997,,21.219999,20.92,9.75,8.558391422453584,24.7005341604671,3698.51478970946,2844.01978079993,6217.15183165226
723.6,27.310333,72.8486107,1595.575,2,22.543,73.5,318.3922424,1065.4,182.373923,,22.7139996,22.9359997,10.9875,9.016403651791762,22.3215697554472,3896.55068916218,3052.5101373,5404.73517063067
723.7,27.3108481,73.9731114,1693.75,2,23.25,73.5,328.391937,1099.0,201.814642900013,,26.200001,27.639999,13.875,9.718920815500098,23.2883109927648,4418.20882686804,3283.65709200019,4301.27918398001
723.8,27.31205,73.1996965,1693.75,2,23.25,73.5,328.391937,1099.0,213.437119500001,,26.200001,27.639999,13.875,9.617306079708037,25.1261566289518,4396.98070158999,3504.00543990014,3120.76687452732
723.9,27.31205,72.219784,1693.75,2,23.25,73.5,328.391937,1099.0,214.673463,,26.200001,27.639999,13.875,9.48856075842338,30.1518103373924,4374.31390311633,3661.92428360009,2092.71206190058
724.0,27.31205,65.0339062,1693.75,2,23.25,73.5,328.391937,1099.0,197.756313600019,,26.200001,27.639999,13.875,8.544447742135409,36.5963044802662,4350.73186498515,3723.81458830002,1297.3894421182
724.1,27.31205,39.2423282,1693.75,2,23.25,73.5,328.391937,1099.0,142.986916,,26.200001,27.639999,13.875,5.155833966876599,46.087106293407,4308.69177109303,3596.2159663,837.823442993228
724.2,27.31205,11.1515497,1693.75,2,23.25,73.5,328.391937,1099.0,98.7799458999774,,26.200001,27.639999,13.875,1.4651408660960272,54.7312340563892,4262.68190649876,3249.00115589963,727.246886007676
724.3,27.31205,-7.1603864,1693.75,2,23.25,73.5,328.391937,1099.0,69.9238499999762,,26.200001,27.639999,13.875,-0.9407638412514284,63.139139036662,4206.78942431589,2778.32471419961,880.94677885104
724.4,27.31205,-8.9176883,1693.75,2,23.25,73.5,328.391937,1099.0,49.5823020000017,,26.200001,27.639999,13.875,-1.1716460860535292,69.6515072789327,4145.07781035406,2293.03869269961,1259.42798424528
724.5,27.31205,-3.1234331,1786.3,2,18.123,73.725,256.1219733,938.500000000182,50.7631636000003,,27.5380006999985,30.2139995999971,18.0374999999953,-0.43279422393337486,61.0291921410922,3307.21678364457,1844.41971690012,1900.02201328928
724.6,27.31205,-3.1164278,2002.25,2,6.16,74.25,87.492058,564.0,48.2008549,,30.66,36.220001,27.75,-0.4840277060217365,23.5517307839457,1205.26296467842,1506.0808673,2979.80344589204
724.7,27.3081251,0.0878138,2002.25,2,6.16,74.25,87.492058,564.0,44.4859176000021,,30.66,36.220001,27.75,0.013638792521056178,23.4599141531812,1173.59990661023,1243.75415289984,4669.11411061419
724.8,27.298967,1.7222621,2002.25,2,6.16,74.25,87.492058,564.0,44.5505907999954,,30.66,36.220001,27.75,0.2674929845739339,22.4822851839915,1145.18800229949,1061.06693939989,6808.19215620616
724.9,27.298967,0.5437668,2002.25,2,6.16,74.25,87.492058,564.0,41.263415800002,,30.66,36.220001,27.75,0.08445509208163925,20.9952321416661,1123.95706043654,932.561247999919,9194.95582742936
725.0,27.298967,0.446605,2006.675,2,5.941,74.25,84.3764245,545.100000000021,41.4574356000018,,30.6120000000001,35.1400004000012,27.75,0.06951771208522324,19.7096888871722,1152.58905843994,838.413693200026,11737.9164353693
725.1,27.298967,8.4210013,2017.0,2,5.43,74.25,77.106613,501.0,36.3406972,,30.5,32.619999,27.75,1.3175420416997372,19.2688689577683,1281.55060153902,765.9473001,14307.619291991
725.2,27.298967,13.5397607,2017.0,2,5.43,74.25,77.106613,501.0,33.2570627000003,,30.5,32.619999,27.75,2.118418382954514,16.4219456804234,1289.30342149564,708.762530999961,16767.9361220318
725.3,27.298967,11.874717,2023.225,2,5.7,74.25,81.0361252,497.39999999999,36.9739694000091,,29.743999999998,31.8339992999979,26.7374999999973,1.8636411893587945,13.767834752324,1265.48168349169,659.711885399962,18799.0707859425
725.4,27.298967,14.7307889,2037.75,2,6.33,74.25,90.204987,489.0,44.622486399999,,27.98,30.0,24.375,2.3284759529953067,11.3278233224009,1229.61460410835,609.643050299957,20032.6682546886
725.5,27.298967,18.6510036,2037.75,2,6.33,74.25,90.204987,489.0,45.9930996999974,,27.98,30.0,24.375,2.9481390084837136,9.9425525971482,1256.2061577088,554.5493641000201,20429.7525283143
725.6,27.298967,22.4038735,2037.75,2,6.33,74.25,90.204987,489.0,53.0982952,,27.98,30.0,24.375,3.541350096918353,9.07412530340038,1287.26877349087,498.6089041,20140.0877925317
725.7,27.1849502,26.3465046,2037.75,2,6.33,74.25,90.204987,489.0,60.7143109000094,,27.98,30.0,24.375,4.164556482550655,8.53509975147431,1324.31953168761,456.548490199984,19532.027823675
725.8,26.918911,30.4533945,2047.425,2,7.782,74.25,110.5710528,537.300000000128,74.7631828000153,,27.613999999999,29.237999699998,24.1499999999994,4.836582051479486,10.4004229978447,1668.67642998605,449.865579500019,18690.5274003272
725.9,26.918911,38.0954111,2070.0,2,11.17,74.25,158.091873,650.0,92.9104363000123,,26.76,27.459999,23.625,6.116991253081311,16.0820219388685,2398.99638849079,493.741316300073,17701.3256967071
726.0,26.918911,44.9824163,2070.0,2,11.17,74.25,158.091873,650.0,111.567197199991,,26.76,27.459999,23.625,7.222839683427441,17.5548355391287,2414.25321498843,611.843274399939,16487.8568829291
726.1,26.918911,49.8669245,2070.0,2,11.17,74.25,158.091873,650.0,148.6253101,,26.76,27.459999,23.625,8.00714658738953,12.1480633125629,2574.4936395839,814.2797266,14793.6551156693
726.2,26.918911,53.977678,2070.0,2,11.17,74.25,158.091873,650.0,192.572932,,26.76,27.459999,23.625,8.667211473868031,13.7111783331236,2570.00538502913,1068.1406093002,12692.4315796136
726.3,26.918911,56.1190657,2096.025,2,13.471,74.25,190.5262464,748.10000000026,202.977122200028,,28.1100000000036,28.9479987000039,20.4749999999916,9.12434587937841,17.0123425531793,3125.53387910782,1285.98516960011,10219.5097145811
726.4,26.918911,63.4462185,2156.75,2,18.84,74.25,266.206451,977.0,236.575381700025,,31.26,32.419998,13.125,10.614520954074882,24.6581603852762,4416.60970963346,1435.65443990014,7723.76663281001
726.5,26.918911,69.9427815,2156.75,2,18.84,74.25,266.206451,977.0,271.087274899985,,31.26,32.419998,13.125,11.701392728678243,24.2259748935897,4422.06084449584,1653.04634419989,5106.4252867546
726.6,26.918911,73.8503715,2156.75,2,18.84,74.25,266.206451,977.0,309.6804799,,31.26,32.419998,13.125,12.355130601723165,24.1714581430447,4411.93164521066,1991.345647,2514.41764985122
726.7,26.918911,78.8181489,2156.75,2,18.84,74.25,266.206451,977.0,343.792846600036,,31.26,32.419998,13.125,13.186237302077256,23.8529409584597,4411.04200586509,2405.12844100034,286.228184891981
726.8,26.9030101,83.8592155,2156.75,2,18.84,74.25,266.206451,977.0,375.5352832,,31.26,32.419998,13.125,14.029605249318857,24.2868251538616,4394.94349924758,2818.2722146003,0.0
