Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,Ign_angle_crk,VVT_in_crk,VVT_ex_crk,N_t,P_ext,VSP,CO,CO2,Nox,HC
7.8,42.862104,0.333199,1007.25,0,7.23,3.0,71.807922,308.0,1.875,0.1,0.0,431.984041,2.552919,0.02603369514025174,9.885824831,763.0536627,151.070009,8891.447014
7.9,42.862104,0.327519,1010.0,0,7.2,3.0,71.489998,306.0,1.875,0.1,0.0,406.771307,0.832676,0.02565976783096756,9.729901936,763.374429,151.248563,8891.796284
8.0,42.862104,0.346262,1011.75,0,7.16,3.0,71.489998,306.0,1.875,0.1,0.0,420.165572,3.399909,0.027175209178850922,9.755594964,758.3552255,151.736183,8904.642352
8.1,42.862104,0.346262,1011.75,0,7.16,3.0,71.489998,306.0,1.875,0.08,0.0,420.95347,0.0,0.027175209178850922,9.68607547,761.0092263,151.97983,8916.446937
8.2,42.862104,0.319,1011.75,0,7.16,3.0,71.489998,306.0,1.875,0.06,0.0,420.95347,0.0,0.025035642744665725,9.645057112,759.66748,152.484496,8921.264457
8.3,42.862104,0.319,999.0,0,7.22,3.0,72.104645,308.0,1.875,0.06,0.0,426.731388,0.812979,0.024720145393546885,9.591940353,758.6973751,152.636095,8923.330636
8.4,42.862104,0.343612,999.0,0,7.22,3.0,72.104645,308.0,1.5,0.12,0.0,430.670878,3.24233,0.02662739372717063,9.590102968,758.4912931,152.586252,8924.487385
8.5,42.862104,0.335092,999.0,0,7.22,3.0,72.104645,308.0,1.5,0.12,0.0,431.984041,0.635702,0.025967156615092205,9.556336075,758.3726136,152.541965,8932.384141
8.6,42.864153,0.339257,994.0,0,7.25,3.0,72.401375,309.0,6.0,0.12,0.0,417.801878,0.0,0.026158332224336764,9.402366585,754.0934919,152.085533,8936.662657
8.7,42.864153,0.339257,994.0,0,7.25,3.0,72.401375,309.0,0.75,0.08,0.0,409.397633,3.291573,0.026158332224336764,9.386080897,756.7848775,151.212429,8932.708429
8.8,42.864153,0.340204,994.0,0,7.25,3.0,72.401375,309.0,0.75,0.08,0.0,410.973429,0.537215,0.026231350439484716,9.39015576,755.4693495,150.332142,8890.877511
8.9,42.864153,0.334146,994.0,0,7.25,3.0,72.401375,309.0,2.625,0.08,0.0,404.144981,0.100588,0.025764249755887817,9.454175111,754.8914402,149.418423,8852.691401
9.0,42.864153,0.338311,1004.0,0,7.22,3.0,72.104645,308.0,1.5,0.12,0.0,419.115041,3.941589,0.02634781959598842,9.434542305,761.9848076,148.874239,8836.264638
9.1,42.864153,0.33301,1004.0,0,7.22,3.0,72.104645,308.0,1.125,0.12,0.0,420.95347,0.0,0.025934975225931474,9.419179278,759.7945896,148.453663,8828.908098
9.2,42.864153,0.3304281818,1004.0,0,7.22,3.0,72.104645,308.0,1.125,0.12,0.0,424.367694,0.120285,0.025733902011749146,9.451122013,759.7467999,148.406485,8818.138368
9.3,42.864153,0.333578,1004.0,0,7.22,3.0,72.104645,308.0,1.125,0.12,0.0,404.144981,3.449153,0.025979211332740067,9.47756056,762.4617435,148.724525,8812.192015
9.4,42.864153,0.360273,1005.75,0,7.19,3.0,72.104645,308.0,1.125,0.12,0.0,432.246674,0.0,0.02810713675048776,9.506069473,760.0079572,149.150758,8814.779095
9.5,42.864153,0.354025,1005.75,0,7.19,3.0,72.104645,308.0,1.875,0.1,0.0,421.216103,1.676383,0.027619691423146974,9.558438589,759.492544,149.784126,8855.180365
9.6,42.880292,0.354025,1001.25,0,7.18,3.0,71.998672,308.0,2.25,0.1,0.0,419.115041,3.327685,0.027496113385459518,9.553377523,752.8689094,149.998795,8809.20435
9.7,42.880292,0.355729,1001.25,0,7.18,3.0,71.998672,308.0,2.25,0.1,0.0,410.973429,0.0,0.02762845821197974,9.609655851,754.1281145,149.794375,8820.968123
9.8,42.880292,0.358569,1000.25,0,7.18,3.0,71.998672,308.0,2.25,0.1,0.0,423.842429,0.468273,0.027821218657755303,9.602889988,750.3460619,150.271101,8816.956388
9.9,42.880292,0.334524,999.75,0,7.18,3.0,71.998672,308.0,2.25,0.1,0.0,425.94349,3.321119,0.025942602625043443,9.683376559,751.8105397,149.957518,8812.736678
10.0,42.880292,0.358947,998.25,0,7.18,3.0,71.998672,308.0,1.5,0.08,0.0,430.93351,0.852374,0.027794860346325834,9.581453175,752.8118462,149.61226,8808.356599
10.1,42.880292,0.358947,998.25,0,7.18,3.0,71.998672,308.0,1.5,0.12,0.0,430.93351,0.852374,0.027794860346325834,9.678995514,750.7003433,149.410485,8824.486287
10.2,42.880292,0.357433,998.25,0,7.18,3.0,71.998672,308.0,1.5,0.12,0.0,422.266633,3.035507,0.02767762460242956,9.61261069,752.2568576,149.142535,8849.821122
10.3,42.880292,0.393594,993.25,0,7.14,3.0,71.998672,309.0,1.125,0.1,0.0,420.165572,0.0,0.030325075623937433,9.470689943,743.6552392,148.635388,8872.687441
10.4,42.880292,1.408569,993.25,0,7.14,3.0,71.998672,309.0,1.125,0.1,0.0,407.559205,2.720348,0.10852543851413876,9.479942137,745.1585422,147.953641,8894.957201
10.5,42.880292,0.23475,993.25,0,7.14,3.0,71.998672,309.0,1.875,0.06,0.0,407.559205,2.720348,0.01808668704990247,9.504022844,743.1119846,147.370042,8910.711639
10.6,42.857611,0.285868,1002.25,0,7.22,3.0,72.698097,309.0,3.0,0.1,0.0,421.478735,0.0,0.022224728160888246,9.695973903,761.2714308,146.748854,8903.61637
10.7,42.857611,0.332442,1002.25,0,7.22,3.0,72.698097,309.0,3.0,0.1,0.0,412.811858,0.0,0.025845610838785768,10.50201502,761.9076593,146.375195,8900.674064
10.8,42.857611,0.329034,947.5,0,7.24,3.75,73.39753,321.0,3.0,0.1,0.0,391.275981,0.481405,0.024183260008129568,10.48286088,715.1949776,146.378506,8893.106472
10.9,42.857611,0.329034,947.5,0,7.24,3.75,73.39753,321.0,18.0,0.12,0.0,406.771307,1.912752,0.024183260008129568,18.76315969,711.396878,146.664323,8890.635933
11.0,42.857611,0.453231,918.25,0,7.74,3.75,78.399498,337.0,18.0,0.12,0.0,656.009689,8.416191,0.032283112049774305,28.06267364,734.2446528,147.949832,8876.852689
11.1,42.857611,0.453231,876.5,0,20.5,3.75,206.797485,494.0,9.75,0.16,0.0,656.009689,8.416191,0.03081529835189457,48.96374842,1876.593037,150.449449,8864.959762
11.2,42.857611,0.616619,876.5,0,20.5,3.75,206.797485,494.0,9.75,0.16,3.55e-16,1573.385532,23.488016,0.04192409269102704,75.44622768,1861.564487,167.408028,8867.569304
11.3,42.857611,0.555278,876.5,0,20.5,3.75,206.797485,494.0,6.75,0.2,0.02,4093.871135,42.597817,0.03775350149977233,117.2452543,1832.9173,274.884178,8862.766947
11.4,42.857611,0.460994,876.5,0,20.5,3.75,206.797485,494.0,8.625,0.2,0.02,7650.44274,61.865198,0.03134310682286358,239.5440336,1769.597418,518.978687,8930.219455
11.5,42.857611,0.298742,1356.0,0,28.219999,3.75,278.202698,862.0,11.25,0.18,0.42,9688.734977,57.098417,0.03142322992433055,453.4941489,3306.741039,771.774323,8892.529548
11.6,42.857611,0.708253,1356.0,0,28.219999,3.75,278.202698,862.0,11.25,0.18,0.42,10250.5063,46.675187,0.07449771663708779,520.8657431,3270.249097,744.268958,9468.627916
11.7,42.859677,9.431243,1968.5,0,17.35,3.75,173.606461,577.0,14.625,3.44,0.22,10259.96107,51.19575,1.4401217295991404,245.4207164,2460.225925,674.688302,9138.132887
11.8,42.859677,48.845845,1968.5,0,17.35,3.75,173.606461,577.0,14.625,3.44,0.22,10438.5513,52.430123,7.458609939870229,370.9065562,2405.673764,618.354169,11199.74985
11.9,42.859677,1.435831,1968.5,0,17.35,3.75,173.606461,577.0,16.5,10.9,9.06,11046.80862,64.517787,0.21924696703627122,458.3685028,2373.977318,604.198342,11690.34222
12.0,42.859677,1.435831,2134.0,0,19.120001,3.75,191.60083,632.0,16.5,10.9,9.06,12123.34004,69.310831,0.23767997340889144,625.9284387,2912.403178,612.543219,12245.40771
12.1,42.859677,20.975184,2134.0,0,19.120001,3.75,191.60083,632.0,20.25,17.24,16.280001,13580.6889,77.803711,3.472122537657011,882.4917907,2820.851167,636.64654,12711.13069
12.2,42.859677,32.667558,2134.0,0,19.120001,3.75,191.60083,632.0,20.25,17.24,16.280001,15516.02934,93.62404,5.407617133752801,771.74171,2868.021108,660.446844,10790.31805
12.3,42.859677,22.18253073,2134.0,0,19.120001,3.75,191.60083,632.0,21.95454545,22.04,21.37090827,17945.64465,100.820172,3.671980416949011,565.6959724,2947.977148,679.055941,12358.82979
12.4,42.859677,23.538464,2298.25,0,22.299999,3.75,221.697418,728.0,22.125,24.76,22.639999,20651.54973,112.090392,4.196335836231318,818.7509655,3762.976404,704.634973,15553.47638
12.5,42.859677,26.171605,2335.5,0,22.82,3.75,226.296677,741.0,22.5,28.139999,27.82,23418.91102,129.214035,4.741383435371041,1006.087747,3939.309491,734.832434,14685.43263
12.6,43.116895,24.938149,2335.5,0,22.82,3.75,226.296677,741.0,22.5,28.139999,27.82,26396.90396,127.979662,4.517924161602427,816.7795452,3985.238537,764.424222,14305.94032
12.7,43.116895,25.204719,2335.5,0,22.82,3.75,226.296677,741.0,22.5,28.139999,27.82,29559.00269,145.077042,4.566217362663917,883.3327527,4016.864797,793.465749,12091.64317
12.8,43.116895,26.524697,2335.5,0,22.82,3.75,226.296677,741.0,22.125,33.34,28.799999,32863.9739,162.203969,4.805351409821292,820.1828853,4044.164668,821.970008,15313.74904
12.9,43.116895,26.943675,2335.5,0,22.82,3.75,226.296677,741.0,22.125,33.34,28.799999,36588.10739,182.213288,4.881255633080999,778.7130867,4025.161322,852.4295,14630.65096
13.0,43.116895,27.640962,2575.5,0,25.91,3.75,255.60907,831.0,18.75,36.98,31.620001,40675.72512,187.548012,5.522167270413997,984.5911249,5116.016385,876.248343,14214.78072
13.1,43.116895,30.911751,2575.5,0,25.91,3.75,255.60907,831.0,18.75,36.98,31.620001,44687.17974,192.13095,6.175612109426116,951.8426469,5187.103003,897.801483,13640.74283
13.2,43.116895,30.911751,2650.25,0,26.17,3.75,258.110046,844.0,20.25,38.5,30.780001,48282.36161,208.305834,6.354849929336659,985.8415155,5440.864163,921.777008,12988.02106
13.3,43.116895,33.014592,2650.25,0,26.17,3.75,258.110046,844.0,21.0,39.360001,29.0,51876.2307,207.202777,6.787152809243275,976.4344194,5464.801496,947.416567,12216.79902
13.4,43.116895,39.810247,2697.75,0,26.92,3.75,265.591797,868.0,21.0,39.360001,29.0,55605.61877,221.073061,8.330890435324516,1012.121373,5732.041431,966.947676,11578.61034
13.5,43.116895,55.879077,2697.75,0,26.92,3.75,265.591797,868.0,21.75,39.360001,28.34,60941.00813,219.530094,11.693533780738969,1000.27838,5757.27393,979.859961,10974.92417
13.6,42.697853,55.879077,2697.75,0,26.92,3.75,265.591797,868.0,20.25,39.0,27.639999,60941.00813,219.530094,11.693533780738969,972.3673655,5775.735402,978.565453,10566.02412
13.7,42.697853,68.785035,2463.5,0,20.540001,3.75,204.593231,759.0,20.25,39.0,27.639999,59425.0904,149.361236,13.144418521461493,656.9192374,4016.007725,970.13731,10285.38776
13.8,42.697853,72.401916,2052.5,0,14.88,3.75,148.893341,547.0,20.25,39.02,26.24,43581.2327,27.263359,11.527312703998778,431.3164042,2405.667611,967.139596,11549.52338
13.9,42.697853,-18.758812,2052.5,0,14.88,3.75,148.893341,547.0,20.25,39.02,26.24,43581.2327,27.263359,-2.986643224739034,390.6128189,2439.113579,981.441221,8946.746415
14.0,42.697853,-121.027605,2052.5,0,14.88,3.75,148.893341,547.0,20.25,39.02,26.24,35949.647,22.89381,-19.269145427740415,278.3498481,2530.207727,1012.212344,9346.777769
14.1,42.697853,-30.439422,1490.25,1,11.35,3.75,117.800598,414.0,-10.875,38.299999,28.040001,30124.97638,23.402661,-3.518765956120142,164.8047333,1458.596294,1050.205017,9474.664101
14.2,42.697853,17.277087,1490.25,1,11.35,3.75,117.800598,414.0,-7.5,34.48,25.540001,21471.22652,19.975306,1.9972135330469114,146.1447399,1476.741419,1088.939777,9465.091992
14.3,42.697853,17.672966,1696.25,1,9.56,3.75,99.700249,371.0,-7.5,34.48,25.540001,21471.22652,19.975306,2.3253811736812082,135.5293223,1486.263284,1126.81272,9450.662762
14.4,42.697853,17.885768,1696.25,1,9.56,3.75,99.700249,371.0,9.0,33.540001,23.18,18519.23453,20.490722,2.35338132739178,120.739393,1503.056895,1167.91402,10869.24727
14.5,42.697853,14.672534,1802.25,1,9.72,3.75,101.289864,378.0,7.5,33.299999,23.32,16247.46146,19.062658,2.051233063565618,123.894872,1683.29615,1214.764185,9900.952147
14.6,42.36671,17.598561,1802.25,1,9.72,3.75,101.289864,378.0,7.5,33.299999,23.32,14410.08299,19.170993,2.4602941928351574,110.844088,1692.551624,1240.524432,9454.818855
14.7,42.36671,17.677132,1802.25,1,9.72,3.75,101.289864,378.0,10.5,33.220001,24.92,12963.23941,21.413219,2.4712784872342985,105.7480991,1696.487605,1276.78573,7792.293761
14.8,42.36671,16.406567,1829.25,1,9.83,3.75,102.391991,382.0,10.5,33.220001,24.92,11872.78844,20.681131,2.328014224495264,100.0598692,1737.679262,1298.689844,8464.81685
